R6|C2=|C3=|C4=|C5=|C7=|C9=|C21=Valuta|C22=IDR|C23=Kurs Lama|C24=Kurs Baru|C25=Saldo IDR|C26=Selisih
R8454|C2=|C3=03.2511077|C4=|C5=24-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8455|C2=|C3=03.2511078|C4=|C5=24-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8456|C2=|C3=03.2511100|C4=|C5=28-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8457|C2=|C3=03.2511101|C4=|C5=28-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8458|C2=|C3=03.2511102|C4=|C5=28-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8459|C2=|C3=03.2511103|C4=|C5=28-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8460|C2=|C3=03.2511104|C4=|C5=28-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8461|C2=|C3=03.2511105|C4=|C5=28-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8462|C2=|C3=03.2512026|C4=|C5=11-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8463|C2=|C3=03.2512027|C4=|C5=11-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8464|C2=|C3=03.2512028|C4=|C5=11-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8465|C2=|C3=03.2512029|C4=|C5=11-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8466|C2=|C3=03.2512030|C4=|C5=11-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8467|C2=|C3=03.2512031|C4=|C5=11-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8468|C2=|C3=03.2512032|C4=|C5=11-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8469|C2=|C3=03.2512035|C4=|C5=11-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8470|C2=|C3=03.2512036|C4=|C5=11-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8471|C2=|C3=03.2512063|C4=|C5=22-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8472|C2=|C3=03.2512064|C4=|C5=22-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8473|C2=|C3=03.2512065|C4=|C5=22-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8474|C2=|C3=03.2512066|C4=|C5=22-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8475|C2=|C3=03.2512067|C4=|C5=22-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8476|C2=|C3=03.2512068|C4=|C5=22-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8477|C2=|C3=03.2512069|C4=|C5=22-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8478|C2=|C3=03.2512070|C4=|C5=22-12-2025|C7=IDR|C9=1,00|C21=0,00|C22=81.309.000,00|C23=1,00|C24=1,00|C25=81.309.000,00|C26=0,00
R8500|C2=|C3=01.2511034|C4=|C5=19-11-2025|C7=IDR|C9=1,00|C21=0,00|C22=2.321.010,00|C23=1,00|C24=1,00|C25=2.321.010,00|C26=0,00
R8871|C2=|C3=03.2308011|C4=|C5=04-08-2023|C7=IDR|C9=1,00|C21=0,00|C22=59.130.000,00|C23=1,00|C24=1,00|C25=59.130.000,00|C26=0,00
